phenotype_id,query_concept_id
1,36561408
1,44500480
1,36568076
1,36519440
1,36549665
1,36555815
1,44499502
1,36559407
1,44503093
1,36560950
1,44501560
1,36540480
1,36529740
1,36534372
1,36565111
1,36537983
1,44502676
1,44500629
1,44499621
1,36521131
1,36567740
1,36539584
1,36530883
1,36544195
1,36561609
1,36520147
1,36545761
1,36524261
1,44500713
1,36531963
1,36554509
1,44501264
1,36545302
1,36561198
1,36559156
1,36552502
1,36532027
1,44500809
1,36536141
1,44500302
1,44500303
1,36548947
1,44502876
1,44500843
1,36558192
1,36564347
1,36561283
1,36517257
1,42511764
1,44502936
1,44501411
1,36549552
1,44500918
1,36561356
1,36560845
1,36568021
1,44500458
1,36566002
1,44503539
1,44502006
1,36517557
1,44502711
1,42512060
1,36531901
1,36552385
1,36538056
1,36556491
1,36558543
1,36546260
1,44500710
1,36548326
1,42512102
1,44502764
1,42512108
1,36531952
1,44502769
1,44502772
1,44500726
1,44502784
1,36529938
1,36562727
1,42512167
1,44500790
1,36532026
1,36536126
1,36566849
1,36523843
1,36556614
1,44502856
1,42512203
1,36527952
1,36403024
1,36517902
1,255507
1,36533267
1,36551189
1,36522526
1,36537376
1,36566049
1,36548653
1,35225649
1,36558387
1,44499508
1,36522039
1,36553794
1,42512456
1,36556873
1,36560457
1,36553295
1,36546641
1,36522071
1,36520025
1,36529246
1,36547678
1,36520033
1,36541027
1,36521066
1,36567150
1,36561009
1,36536437
1,36518010
1,36534909
1,36565633
1,36533381
1,45772933
1,36567179
1,36531347
1,42512038
1,45768884
1,42512569
1,36554949
1,44501188
1,36558022
1,37311684
1,4243139
1,4162250
1,36548825
1,44500730
1,36541699
1,36525316
1,36517638
1,36562191
1,36565274
1,44502810
1,36564768
1,44501795
1,36536619
1,44500290
1,36526919
1,45769033
1,36560716
1,44501844
1,44501335
1,44499800
1,42512222
1,36529004
1,44500343
1,36563834
1,45769094
1,36551562
1,40492938
1,36537230
1,44501394
1,36561810
1,36535188
1,42512286
1,36567972
1,44502436
1,44502952
1,44505009
1,36531122
1,44502961
1,44505015
1,42512311
1,36559289
1,36525516
1,44500433
1,36551125
1,44499432
1,36517354
1,36770283
1,36556806
1,36534280
1,36560910
1,36548626
1,36567060
1,36530197
1,36538391
1,36558877
1,36532255
1,36560935
1,44503098
1,4245564
1,44499007
1,36538432
1,44499010
1,44501059
1,44501061
1,36532293
1,36546635
1,44501086
1,44503136
1,36538464
1,44503138
1,44503150
1,44503152
1,36556919
1,42512505
1,44501124
1,45772938
1,45772939
1,36532368
1,42512532
1,36563105
1,36550822
1,36530344
1,36556975
1,45768880
1,45768879
1,45768881
1,45768883
1,45768885
1,36546742
1,45768886
1,44501179
1,36518085
1,44501191
1,45768916
1,36532437
1,36538582
1,45768919
1,45768920
1,45768921
1,45768922
1,45768923
1,45768918
1,45768917
1,45768928
1,45768930
1,45768931
1,45768932
1,42512616
1,36552939
1,42512620
1,36520186
1,4110589
1,4110590
1,36530431
1,36546823
1,36550921
1,36565269
1,36518168
1,36528414
1,36524328
1,36550952
1,36559151
1,36522300
1,44501310
1,45769034
1,36563276
1,36559186
1,36567381
1,36548953
1,36526433
1,36526440
1,36548970
1,42512747
1,44501357
1,42512752
1,4110705
1,42512758
1,36561274
1,44501388
1,36522392
1,44501404
1,44501408
1,36520353
1,42512800
1,42512801
1,36530605
1,46272955
1,36522427
1,44501438
1,36555199
1,36567491
1,36567502
1,36536786
1,36534747
1,42512859
1,44499422
1,44501471
1,36559328
1,36518368
1,36567522
1,42512867
1,44503537
1,44503538
1,36542965
1,44501493
1,36567546
1,36536832
1,44501516
1,36567582
1,44499488
1,36549159
1,36536884
1,44501558
1,44501559
1,36549175
1,44499513
1,44501567
1,36549186
1,36536903
1,36532816
1,44501585
1,36520546
1,36563562
1,36538987
1,44501613
1,36541038
1,44501617
1,36530830
1,36565647
1,36563600
1,36543118
1,36534932
1,36530839
1,36526753
1,36553379
1,44499623
1,36551342
1,35226293
1,36524730
1,44501707
1,44501709
1,36547280
1,36530898
